DATE,A261RX1Q020SBEA,AMDMTI,AMDMVS,AMTMUO,BOPTEXP,BOPTIMP,BUSINV,CPIAUCSL,CPILFESL,DGORDER,DSPIC96,GACDFSA066MSFRBPHI,GACDISA066MSFRBNY,GDPC1,HOUST,HSN1F,I42IMSM144SCEN,INDPRO,IQ,IR,JTSJOL,NPPTTL,PAYEMS,PCEC96,PCEPI,PCEPILFE,PERMIT,PPIFIS,RSAFS,TCU,TTLCONS,ULCNFB,UMCSENT,UNRATE
1919-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-02-01,,,,,,,,,,,,,,,,,,-4.42001,,,,,,,,,,,,,,,,
1919-03-01,,,,,,,,,,,,,,,,,,-2.88945,,,,,,,,,,,,,,,,
1919-04-01,,,,,,,,,,,,,,,,,,1.78437,,,,,,,,,,,,,,,,
1919-05-01,,,,,,,,,,,,,,,,,,0.58509,,,,,,,,,,,,,,,,
1919-06-01,,,,,,,,,,,,,,,,,,6.39637,,,,,,,,,,,,,,,,
1919-07-01,,,,,,,,,,,,,,,,,,6.0098,,,,,,,,,,,,,,,,
1919-08-01,,,,,,,,,,,,,,,,,,1.54716,,,,,,,,,,,,,,,,
1919-09-01,,,,,,,,,,,,,,,,,,-2.03145,,,,,,,,,,,,,,,,
1919-10-01,,,,,,,,,,,,,,,,,,-1.03486,,,,,,,,,,,,,,,,
1919-11-01,,,,,,,,,,,,,,,,,,-1.57145,,,,,,,,,,,,,,,,
1919-12-01,,,,,,,,,,,,,,,,,,1.59653,,,,,,,,,,,,,,,,
1920-01-01,,,,,,,,,,,,,,,,,,9.42283,,,,,,,,,,,,,,,,
1920-02-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1920-03-01,,,,,,,,,,,,,,,,,,-1.91305,,,,,,,,,,,,,,,,
1920-04-01,,,,,,,,,,,,,,,,,,-5.36667,,,,,,,,,,,,,,,,
1920-05-01,,,,,,,,,,,,,,,,,,2.5786,,,,,,,,,,,,,,,,
1920-06-01,,,,,,,,,,,,,,,,,,1.00364,,,,,,,,,,,,,,,,
1920-07-01,,,,,,,,,,,,,,,,,,-2.48695,,,,,,,,,,,,,,,,
1920-08-01,,,,,,,,,,,,,,,,,,0.51046,,,,,,,,,,,,,,,,
1920-09-01,,,,,,,,,,,,,,,,,,-3.55316,,,,,,,,,,,,,,,,
1920-10-01,,,,,,,,,,,,,,,,,,-4.21063,,,,,,,,,,,,,,,,
1920-11-01,,,,,,,,,,,,,,,,,,-8.24171,,,,,,,,,,,,,,,,
1920-12-01,,,,,,,,,,,,,,,,,,-5.98873,,,,,,,,,,,,,,,,
1921-01-01,,,,,,,,,,,,,,,,,,-5.73297,,,,,,,,,,,,,,,,
1921-02-01,,,,,,,,,,,,,,,,,,-2.02553,,,,,,,,,,,,,,,,
1921-03-01,,,,,,,,,,,,,,,,,,-2.75997,,,,,,,,,,,,,,,,
1921-04-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1921-05-01,,,,,,,,,,,,,,,,,,2.8383,,,,,,,,,,,,,,,,
1921-06-01,,,,,,,,,,,,,,,,,,-0.68999,,,,,,,,,,,,,,,,
1921-07-01,,,,,,,,,,,,,,,,,,-0.69479,,,,,,,,,,,,,,,,
1921-08-01,,,,,,,,,,,,,,,,,,3.49563,,,,,,,,,,,,,,,,
1921-09-01,,,,,,,,,,,,,,,,,,0.67602,,,,,,,,,,,,,,,,
1921-10-01,,,,,,,,,,,,,,,,,,6.04079,,,,,,,,,,,,,,,,
1921-11-01,,,,,,,,,,,,,,,,,,-1.26645,,,,,,,,,,,,,,,,
1921-12-01,,,,,,,,,,,,,,,,,,-0.64135,,,,,,,,,,,,,,,,
1922-01-01,,,,,,,,,,,,,,,,,,3.87292,,,,,,,,,,,,,,,,
1922-02-01,,,,,,,,,,,,,,,,,,4.34763,,,,,,,,,,,,,,,,
1922-03-01,,,,,,,,,,,,,,,,,,5.35532,,,,,,,,,,,,,,,,
1922-04-01,,,,,,,,,,,,,,,,,,-3.38944,,,,,,,,,,,,,,,,
1922-05-01,,,,,,,,,,,,,,,,,,5.26362,,,,,,,,,,,,,,,,
1922-06-01,,,,,,,,,,,,,,,,,,5.00041,,,,,,,,,,,,,,,,
1922-07-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1922-08-01,,,,,,,,,,,,,,,,,,-2.11744,,,,,,,,,,,,,,,,
1922-09-01,,,,,,,,,,,,,,,,,,5.40611,,,,,,,,,,,,,,,,
1922-10-01,,,,,,,,,,,,,,,,,,5.64192,,,,,,,,,,,,,,,,
1922-11-01,,,,,,,,,,,,,,,,,,4.36745,,,,,,,,,,,,,,,,
1922-12-01,,,,,,,,,,,,,,,,,,2.7921,,,,,,,,,,,,,,,,
1923-01-01,,,,,,,,,,,,,,,,,,-2.26355,,,,,,,,,,,,,,,,
1923-02-01,,,,,,,,,,,,,,,,,,1.38958,,,,,,,,,,,,,,,,
1923-03-01,,,,,,,,,,,,,,,,,,3.19622,,,,,,,,,,,,,,,,
1923-04-01,,,,,,,,,,,,,,,,,,2.21184,,,,,,,,,,,,,,,,
1923-05-01,,,,,,,,,,,,,,,,,,1.29935,,,,,,,,,,,,,,,,
1923-06-01,,,,,,,,,,,,,,,,,,-0.85512,,,,,,,,,,,,,,,,
1923-07-01,,,,,,,,,,,,,,,,,,-0.8625,,,,,,,,,,,,,,,,
1923-08-01,,,,,,,,,,,,,,,,,,-1.73839,,,,,,,,,,,,,,,,
1923-09-01,,,,,,,,,,,,,,,,,,-2.21184,,,,,,,,,,,,,,,,
1923-10-01,,,,,,,,,,,,,,,,,,-0.45271,,,,,,,,,,,,,,,,
1923-11-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1923-12-01,,,,,,,,,,,,,,,,,,-2.27384,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,2.32675,,,,,,,,,,,,,,,,
1924-02-01,,,,,,,,,,,,,,,,,,1.81738,,,,,,,,,,,,,,,,
1924-03-01,,,,,,,,,,,,,,,,,,-1.78494,,,,,,,,,,,,,,,,
1924-04-01,,,,,,,,,,,,,,,,,,-3.18169,,,,,,,,,,,,,,,,
1924-05-01,,,,,,,,,,,,,,,,,,-4.22567,,,,,,,,,,,,,,,,
1924-06-01,,,,,,,,,,,,,,,,,,-4.41211,,,,,,,,,,,,,,,,
1924-07-01,,,,,,,,,,,,,,,,,,-1.53922,,,,,,,,,,,,,,,,
1924-08-01,,,,,,,,,,,,,,,,,,3.64767,,,,,,,,,,,,,,,,
